gene_id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64
ENSG00000204380	-11.444076	2.2146971	0.40338707	-0.47336686	0.155778	-0.038179055	-0.08392238	-0.26166442	0.88115513	-0.26116425	0.06021765	-1.1276183	-0.22538841	-1.1464252	-1.3312687	0.56148714	-0.42684564	0.51534957	-0.16815512	-0.30840677	0.39458895	0.076042786	-0.060627572	-0.1313513	0.36398268	0.023083685	0.21056233	0.12019502	0.16084418	-0.072024114	-0.28355855	-0.15104507	-0.057628844	0.15593271	0.05070191	0.12302963	0.060490716	0.2252306	0.03403689	-0.07389296	0.04764452	-0.101694934	-0.26144814	-0.04857164	-0.0706779	0.04388098	-0.0402936	0.01569139	0.03411754	0.012539825	-0.0561519	-0.041901678	0.070683666	0.097574435	0.05315975	0.025037568	0.18348451	-0.10404452	-0.0005801701	0.035677806	0.06688728	-0.06348254	0.0019183704	0.07807941
ENSG00000265514	-12.586504	2.5846713	0.2596934	-0.7488293	0.06816452	-0.025410954	-0.1057428	-0.10913741	0.9312367	-0.3645363	-0.021566337	-1.0505848	-0.23360386	-0.9239592	-0.8381077	0.22992827	-0.42597783	0.7763552	-0.19053234	-0.4706244	0.6183876	0.1105171	-0.11258337	0.07745672	0.333962	0.25394273	0.35084715	0.3147578	0.12653266	-0.058547705	-0.32625973	-0.013436048	-0.03740164	0.20847814	-0.174175	0.026735932	0.040510643	-0.06353486	0.17743829	-0.049823824	0.05164073	0.030358119	-0.13696256	-0.107571006	0.03428827	0.041549742	-0.13536756	-0.06685653	0.021017715	-0.08716184	-0.015759576	-0.05237395	0.11527136	0.08317816	0.13441065	0.025050834	0.10035703	-0.049760785	-0.024191553	-0.027550071	-0.075179495	-0.008966748	0.09031859	0.0435762
ENSG00000183696	23.313955	-14.868663	-2.5106628	-14.954608	24.6332	4.9241343	-5.0159826	13.224004	-7.857205	3.2967374	-0.16163073	9.922243	-10.420587	5.8448377	0.53357774	0.16750304	3.814845	-8.151337	4.56739	-6.125552	-11.17087	-2.6634924	-2.126735	-4.074358	3.1323645	-11.111271	1.4541044	3.6133218	-3.617029	-0.36464003	3.7127278	3.5044348	-2.9018168	-0.06033288	2.4667544	-1.4120607	11.400102	5.4590125	-3.8025856	1.5123862	0.26302484	-4.043946	1.757273	2.954872	4.256705	-0.9238898	3.536521	2.138352	3.009949	3.292875	5.5238824	3.8766592	7.4513626	6.262815	-3.4495552	-2.3443372	1.0745877	-3.0789077	-1.773488	2.7131412	1.7090827	2.7892213	2.704641	0.850577
ENSG00000115297	-12.31388	2.6531506	0.25139543	-0.72008324	-0.0066960603	-0.042775195	-0.09265509	-0.16833338	0.85635716	-0.3926554	-0.020189092	-0.9877696	-0.28698006	-0.8769337	-0.8637843	0.16913229	-0.31615794	0.838066	-0.23382583	-0.51835984	0.5591476	0.06412588	-0.17688057	0.08511742	0.26105213	0.25336108	0.3586518	0.2696157	0.11643147	-0.05419861	-0.32306385	-0.0014041674	0.030701581	0.2402261	-0.11066472	0.079426095	0.041837186	-0.0864796	0.18087074	-0.024054442	0.026737753	0.05927607	-0.07052122	-0.13849337	0.0151269	0.013732636	-0.13773565	-0.11319731	0.079485536	-0.101374075	1.5380792e-06	-0.08389253	0.02536205	0.12102322	0.1543993	0.03546009	0.08542356	-0.024064198	0.052923277	0.03332202	-0.052408986	-0.12253018	0.100661844	-0.02460856
ENSG00000242435	-12.277049	2.364859	0.51514536	-0.7575225	0.15377389	0.0019238628	-0.102734685	-0.11360016	1.0093974	-0.3352745	0.0016509306	-1.1021676	-0.20678607	-1.0676169	-1.1925743	0.36287495	-0.4155597	0.7537367	-0.19512053	-0.4787324	0.53612465	0.06184607	-0.06752	0.002906045	0.34121764	0.19947423	0.2809047	0.24081434	0.09282412	-0.05558115	-0.28069764	-0.013020483	0.010786503	0.19399309	-0.20851257	0.06079705	0.019839035	-0.058517125	0.14114045	-0.059099436	0.048217166	0.02113846	-0.14800143	-0.096385226	0.027842548	0.024627138	-0.10683247	-0.008092405	0.019038957	-0.039789554	-0.015558514	-0.045800894	0.07999363	0.044582695	0.13206325	0.0158461	0.08615503	-0.07854874	0.007233262	-0.0063417275	-0.01220727	-0.044722695	0.05988625	0.0035271961
ENSG00000226419	-10.999153	2.0143244	0.18376309	-0.6511201	-0.17506906	-0.1870065	-0.059000365	-0.28498605	0.7358846	-0.44468355	-0.062797576	-1.032895	-0.1806053	-0.56581855	-0.31811354	0.02726745	-0.47422612	0.75368154	-0.22143796	-0.37170127	0.75528705	0.103195935	-0.082875945	-0.06336895	0.24342634	0.046148088	0.28717095	0.11489947	0.16184583	-0.06586109	-0.3752132	-0.1755648	-0.07333307	0.25318667	-0.14177516	0.024742818	0.07794672	0.025890928	0.118284374	-0.08542718	0.012147037	-0.119200796	-0.06383297	-0.052903157	-0.13068809	-0.024475021	-0.0284691	-0.025828479	0.014485215	-0.10244409	-0.084418856	-0.10123238	0.099854924	0.15905477	0.0589393	-0.026602281	0.121255845	-0.08686122	0.068359606	0.019616133	-0.02322743	-0.10447632	0.025630532	0.03256409
ENSG00000240056	-12.63359	2.5387118	0.2565099	-0.78373533	0.11474454	-0.019228442	-0.10682887	-0.08025487	0.9910299	-0.28326178	0.036901392	-1.1207162	-0.12223474	-1.0916848	-1.2575387	0.4815971	-0.45656097	0.769069	-0.13844989	-0.6080171	0.5298298	0.038658425	-0.1475963	0.07284897	0.3414904	0.21753894	0.32045722	0.31519634	0.116165765	-0.060921725	-0.293224	-0.03524796	0.0032801016	0.21742089	-0.18733916	0.018223036	0.035137426	-0.041595843	0.1690994	-0.04777449	0.045253277	0.0337867	-0.13314949	-0.109672725	0.029179538	0.037498567	-0.13474512	-0.04836778	0.0269313	-0.08154512	0.011514344	-0.0588741	0.10008802	0.08728886	0.15342297	0.018904252	0.086094044	-0.06624386	0.00063100347	-0.02244089	-0.047802392	-0.034934852	0.0681151	0.0021779607
ENSG00000243969	-12.476599	2.430154	0.17302686	-0.79086983	0.09693914	-0.030921847	-0.093618296	-0.15959857	0.98262084	-0.36410037	0.046678733	-1.2614613	0.11092037	-1.007215	-0.96639866	0.31152323	-0.46146205	0.72540814	0.05361112	-1.0210807	0.70385677	-0.022014605	-0.03873926	-0.13664107	0.27074084	0.18145575	0.27597344	0.16710407	0.10676611	-0.05146127	-0.35460114	0.04336556	-0.13094766	-0.16159053	-0.031770583	-0.11008786	0.2938167	-0.16774262	0.069238074	-0.0940875	-0.054170582	0.003341611	-0.019625496	-0.13926235	-0.1287293	0.03193275	-0.06708843	0.24407934	0.07962407	-0.036637668	0.23726846	-0.034057807	0.16782048	0.10359854	0.2503555	-0.0044878423	-0.008548613	0.08503456	0.030529737	-0.31790614	0.10405624	0.0048109274	0.055561595	-0.2000843
ENSG00000238205	-11.425811	3.3492377	0.27263984	-0.19899766	-0.668805	-0.11138746	-0.08915873	-0.66749257	-0.111121334	-1.5430799	-1.1600053	0.3087816	-1.6640257	1.5769566	5.1874633	-3.2688553	-0.08840702	0.8727727	-0.9452166	1.4939572	1.7910514	0.94670033	0.2643022	0.13998295	0.1445362	0.6639303	0.62736535	0.30668476	0.2859005	-0.019979881	-0.7576529	0.20534068	-0.5034336	0.106858686	0.09130226	0.1383138	0.108337715	-0.255064	0.2849069	-0.07355276	0.1480448	-0.06694382	-0.2145605	-0.07651471	0.11283746	0.08541744	-0.104424715	-0.23945658	-0.017406164	-0.18544133	-0.28124145	0.0094155865	0.22588351	0.078093305	-0.019214584	0.030653466	0.19518162	-0.0064285137	-0.19786552	-0.019015474	-0.24226877	0.13464738	0.18121669	0.2656924
ENSG00000225294	-12.589173	2.519312	0.2870965	-0.74482137	0.112538114	-0.0013387701	-0.10762402	-0.079534225	0.97421	-0.289965	0.050216865	-1.1289014	-0.15787539	-1.0727285	-1.2551857	0.46118546	-0.43508562	0.73265815	-0.12540329	-0.60884714	0.54309094	0.045498587	-0.10540238	0.118456595	0.37916458	0.23047192	0.32720375	0.29820627	0.1138659	-0.0587617	-0.2995414	-0.032198217	-0.009150625	0.2042477	-0.1861825	0.020950858	0.02328407	-0.04346673	0.14680643	-0.053954624	0.044161376	0.032557677	-0.13632534	-0.10412968	0.028516062	0.03343316	-0.13101323	-0.044866636	0.021747237	-0.07291868	0.00254607	-0.06118963	0.09699731	0.07983531	0.15830345	0.018763814	0.080741405	-0.06577851	-0.0009646621	-0.021582203	-0.05205864	-0.035685252	0.070160896	0.0067209536
