gene_id,gene_idx
ENSG00000121410,0
ENSG00000148584,1
ENSG00000175899,2
ENSG00000166535,3
ENSG00000184389,4
ENSG00000128274,5
ENSG00000118017,6
ENSG00000094914,7
ENSG00000081760,8
ENSG00000114771,9
ENSG00000197953,10
ENSG00000188984,11
ENSG00000204518,12
ENSG00000109576,13
ENSG00000103591,14
ENSG00000115977,15
ENSG00000087884,16
ENSG00000127837,17
ENSG00000129673,18
ENSG00000131043,19
ENSG00000205002,20
ENSG00000090861,21
ENSG00000124608,22
ENSG00000266967,23
ENSG00000157426,24
ENSG00000149313,25
ENSG00000008311,26
ENSG00000275700,27
ENSG00000181409,28
ENSG00000183044,29
ENSG00000165029,30
ENSG00000107331,31
ENSG00000167972,32
ENSG00000198691,33
ENSG00000154265,34
ENSG00000154262,35
ENSG00000064687,36
ENSG00000141338,37
ENSG00000154258,38
ENSG00000154263,39
ENSG00000144452,40
ENSG00000179869,41
ENSG00000085563,42
ENSG00000005471,43
ENSG00000004846,44
ENSG00000115657,45
ENSG00000131269,46
ENSG00000197150,47
ENSG00000150967,48
ENSG00000135776,49
ENSG00000073734,50
ENSG00000103222,51
ENSG00000023839,52
ENSG00000108846,53
ENSG00000125257,54
ENSG00000114770,55
ENSG00000091262,56
ENSG00000006071,57
ENSG00000069431,58
ENSG00000124574,59
ENSG00000121270,60
ENSG00000140798,61
ENSG00000101986,62
ENSG00000173208,63
ENSG00000117528,64
ENSG00000119688,65
ENSG00000164163,66
ENSG00000204574,67
ENSG00000033050,68
ENSG00000161204,69
ENSG00000160179,70
ENSG00000118777,71
ENSG00000172350,72
ENSG00000138075,73
ENSG00000143921,74
ENSG00000143994,75
ENSG00000140526,76
ENSG00000158201,77
ENSG00000100439,78
ENSG00000011198,79
ENSG00000163686,80
ENSG00000127220,81
ENSG00000144827,82
ENSG00000106077,83
ENSG00000100997,84
ENSG00000131969,85
ENSG00000139826,86
ENSG00000248487,87
ENSG00000114779,88
ENSG00000168792,89
ENSG00000204427,90
ENSG00000183260,91
ENSG00000129968,92
ENSG00000107362,93
ENSG00000136379,94
ENSG00000164074,95
ENSG00000136754,96
ENSG00000138443,97
ENSG00000108798,98
ENSG00000154175,99
ENSG00000119328,100
ENSG00000097007,101
ENSG00000143322,102
ENSG00000099204,103
ENSG00000163995,104
ENSG00000173210,105
ENSG00000175164,106
ENSG00000159842,107
ENSG00000174429,108
ENSG00000146386,109
ENSG00000163322,110
ENSG00000165660,111
ENSG00000146109,112
ENSG00000114626,113
ENSG00000166016,114
ENSG00000151136,115
ENSG00000060971,116
ENSG00000167315,117
ENSG00000278540,118
ENSG00000076555,119
ENSG00000151498,120
ENSG00000177646,121
ENSG00000111271,122
ENSG00000240303,123
ENSG00000115361,124
ENSG00000117054,125
ENSG00000122971,126
ENSG00000196177,127
ENSG00000072778,128
ENSG00000157766,129
ENSG00000072818,130
ENSG00000114331,131
ENSG00000131584,132
ENSG00000075239,133
ENSG00000120437,134
ENSG00000182827,135
ENSG00000181513,136
ENSG00000107897,137
ENSG00000230124,138
ENSG00000176244,139
ENSG00000110455,140
ENSG00000205126,141
ENSG00000102977,142
ENSG00000159640,143
ENSG00000130234,144
ENSG00000167769,145
ENSG00000177076,146
ENSG00000078124,147
ENSG00000087085,148
ENSG00000100813,149
ENSG00000213088,150
ENSG00000144648,151
ENSG00000144476,152
ENSG00000129048,153
ENSG00000131473,154
ENSG00000153086,155
ENSG00000122729,156
ENSG00000100412,157
ENSG00000102794,158
ENSG00000184227,159
ENSG00000119673,160
ENSG00000177465,161
ENSG00000205669,162
ENSG00000097021,163
ENSG00000101473,164
ENSG00000123130,165
ENSG00000162390,166
ENSG00000172497,167
ENSG00000112304,168
ENSG00000161533,169
ENSG00000168306,170
ENSG00000087008,171
ENSG00000153093,172
ENSG00000143727,173
ENSG00000134575,174
ENSG00000014257,175
ENSG00000142513,176
ENSG00000102575,177
ENSG00000162836,178
ENSG00000183760,179
ENSG00000100312,180
ENSG00000111644,181
ENSG00000134940,182
ENSG00000103740,183
ENSG00000130377,184
ENSG00000167107,185
ENSG00000176715,186
ENSG00000151726,187
ENSG00000123983,188
ENSG00000068366,189
ENSG00000197142,190
ENSG00000164398,191
ENSG00000166743,192
ENSG00000183747,193
ENSG00000066813,194
ENSG00000005187,195
ENSG00000215009,196
ENSG00000183549,197
ENSG00000173124,198
ENSG00000154930,199
ENSG00000131069,200
ENSG00000111058,201
ENSG00000143632,202
ENSG00000107796,203
ENSG00000075624,204
ENSG00000169067,205
ENSG00000159251,206
ENSG00000184009,207
ENSG00000163017,208
ENSG00000136518,209
ENSG00000077080,210
ENSG00000187003,211
ENSG00000148156,212
ENSG00000117148,213
ENSG00000181786,214
ENSG00000288649,215
ENSG00000188493,216
ENSG00000072110,217
ENSG00000077522,218
ENSG00000248746,219
ENSG00000130402,220
ENSG00000138107,221
ENSG00000115073,222
ENSG00000138071,223
ENSG00000115091,224
ENSG00000133627,225
ENSG00000106526,226
ENSG00000101442,227
ENSG00000075089,228
ENSG00000113812,229
ENSG00000131966,230
ENSG00000123165,231
ENSG00000169717,232
ENSG00000184378,233
ENSG00000115170,234
ENSG00000135503,235
ENSG00000123612,236
ENSG00000121989,237
ENSG00000114739,238
ENSG00000139567,239
ENSG00000243989,240
ENSG00000132744,241
ENSG00000119640,242
ENSG00000170634,243
ENSG00000196839,244
ENSG00000093072,245
ENSG00000164113,246
ENSG00000140955,247
ENSG00000168803,248
ENSG00000104755,249
ENSG00000069206,250
ENSG00000151651,251
ENSG00000168615,252
ENSG00000137845,253
ENSG00000073670,254
ENSG00000148848,255
ENSG00000143537,256
ENSG00000151694,257
ENSG00000168619,258
ENSG00000135074,259
ENSG00000134007,260
ENSG00000139985,261
ENSG00000008277,262
ENSG00000114948,263
ENSG00000042980,264
ENSG00000168594,265
ENSG00000134249,266
ENSG00000197140,267
ENSG00000149451,268
ENSG00000134028,269
ENSG00000154734,270
ENSG00000087116,271
ENSG00000156140,272
ENSG00000158859,273
ENSG00000154736,274
ENSG00000049192,275
ENSG00000136378,276
ENSG00000134917,277
ENSG00000163638,278
ENSG00000142303,279
ENSG00000151388,280
ENSG00000160323,281
ENSG00000138316,282
ENSG00000166106,283
ENSG00000145536,284
ENSG00000140470,285
ENSG00000140873,286
ENSG00000145808,287
ENSG00000173157,288
ENSG00000178031,289
ENSG00000197859,290
ENSG00000156218,291
ENSG00000143382,292
ENSG00000185761,293
ENSG00000105963,294
ENSG00000184060,295
ENSG00000160710,296
ENSG00000197381,297
ENSG00000185736,298
ENSG00000065457,299
ENSG00000189007,300
ENSG00000213638,301
ENSG00000063761,302
ENSG00000133597,303
ENSG00000173137,304
ENSG00000164742,305
ENSG00000078295,306
ENSG00000138031,307
ENSG00000129467,308
ENSG00000173175,309
ENSG00000174233,310
ENSG00000121281,311
ENSG00000155897,312
ENSG00000162104,313
ENSG00000143199,314
