GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000187634    1     860260     879955     91      21  391906     -0.91978      0.82116
ENSG00000188976    1     879584     894689     66      11  391906     -0.59603      0.72442
ENSG00000187961    1     895967     901095     37       7  391906      -1.0139      0.84469
ENSG00000187583    1     901877     911245     49      19  391906     -0.47002      0.68083
ENSG00000187642    1     910579     917497     28       7  391906      -2.3511      0.99064
ENSG00000188290    1     934342     935552      4       2  391906      -1.5916      0.94427
ENSG00000187608    1     948803     949920      6       2  391906      0.11728      0.45332
ENSG00000188157    1     955503     991496    159      21  391906       1.6127     0.053404
ENSG00000237330    1    1006346    1009687     10       4  391906      0.23855      0.40573
ENSG00000131591    1    1017198    1051741    139      14  391906    -0.066655      0.52657
ENSG00000162571    1    1109264    1133315    156      18  391906     -0.57661       0.7179
ENSG00000186891    1    1138888    1142071     11       3  391906     -0.36232      0.64144
ENSG00000186827    1    1146706    1149518     11       4  391906     -0.68162      0.75226
ENSG00000078808    1    1152288    1167411     99       5  391906      0.60506      0.27257
ENSG00000176022    1    1167629    1170421     10       3  391906     -0.42307      0.66388
ENSG00000184163    1    1177826    1182102     15       4  391906       1.1645      0.12211
ENSG00000160087    1    1189289    1209265     65      12  391906    -0.073349      0.52924
ENSG00000162572    1    1215816    1227409     48      15  391906      0.52209       0.3008
ENSG00000131584    1    1227756    1244989     75      14  391906      0.20013      0.42069
ENSG00000169972    1    1243947    1247057      4       2  391906     -0.85981      0.80505
ENSG00000127054    1    1246965    1260071     20       5  391906      -1.9299      0.97319
ENSG00000224051    1    1260136    1264277     13       3  391906      -1.7965      0.96379
ENSG00000169962    1    1266694    1270686     15       6  391906     -0.43768      0.66919
ENSG00000107404    1    1270656    1284730     43       8  391906     -0.27002      0.60643
ENSG00000162576    1    1288069    1297157     28       5  391906      -0.8397      0.79946
ENSG00000175756    1    1309110    1310875     10       4  391906      -1.5752       0.9424
ENSG00000221978    1    1321091    1334708     27       8  391906     -0.70136      0.75846
ENSG00000242485    1    1337288    1342693     18       7  391906     -0.71802      0.76363
ENSG00000235098    1    1353800    1357149      9       3  391906     -0.61929      0.73214
ENSG00000205116    1    1361508    1363167      9       3  391906      0.23856      0.40572
ENSG00000179403    1    1370241    1378262     21       5  391906      0.76986      0.22069
ENSG00000215915    1    1385069    1405538     94      12  391906       1.9294     0.026839
ENSG00000160072    1    1407143    1433228    126      12  391906       0.1486      0.44094
ENSG00000197785    1    1447531    1470067     97      12  391906     -0.50642      0.69372
ENSG00000205090    1    1470554    1475833     10       4  391906       3.9922    3.273e-05
ENSG00000160075    1    1477053    1510249    104      10  391906       3.7059   0.00010533
ENSG00000228594    1    1533392    1535476      2       1  391906        1.317     0.093917
ENSG00000197530    1    1550795    1565990     34       6  391906      0.78757      0.21547
ENSG00000248333    1    1570603    1590473     30       5  391906      0.70831      0.23938
ENSG00000189339    1    1592939    1624167     69      11  391906      0.53086      0.29776
ENSG00000008128    1    1634169    1655766    101       6  391906       1.1829      0.11843
ENSG00000215790    1    1656277    1677431     69       7  391906     -0.56705      0.71466
ENSG00000008130    1    1682671    1711896     81      12  391906      0.15454      0.43859
ENSG00000078369    1    1716729    1822495    193      26  391906     -0.60313      0.72679
ENSG00000169885    1    1846266    1848735     12       3  391906     -0.72463      0.76566
ENSG00000178821    1    1849029    1850712      7       3  391906     -0.22807       0.5902
ENSG00000142609    1    1853396    1935276    371      26  391906     0.071062      0.47167
ENSG00000187730    1    1950780    1962192     36       9  391906     0.024442      0.49025
ENSG00000067606    1    1981909    2116834    506      34  391906      0.60519      0.27253
ENSG00000162585    1    2115903    2144159     69      17  391906       1.5806     0.056989
ENSG00000157933    1    2160134    2241558    294      52  391906       3.2518   0.00057331
ENSG00000116151    1    2252692    2323146    373      45  391906      0.58596      0.27895
ENSG00000157916    1    2323267    2336883     44      14  391906       0.1289      0.44872
ENSG00000157911    1    2336236    2345236     38      14  391906    -0.058225      0.52322
ENSG00000149527    1    2357419    2436969    359      47  391906       1.4078       0.0796
ENSG00000157881    1    2439972    2458039     82      17  391906      0.68633      0.24625
ENSG00000197921    1    2460184    2461684      5       3  391906     -0.17029      0.56761
ENSG00000157873    1    2487078    2496821     31       8  391906       2.5167    0.0059225
ENSG00000157870    1    2517930    2522908     14       6  391906      0.48602      0.31348
ENSG00000142606    1    2522078    2564481    192      13  391906       1.1745      0.12009
ENSG00000215912    1    2567415    2718286    396      22  391906       1.7405     0.040884
ENSG00000169717    1    2938046    2939465      4       2  391906     -0.25826       0.6019
ENSG00000142611    1    2985732    3355185   1726     170  391906       0.9841      0.16253
ENSG00000130762    1    3370990    3397677    100      12  391906       2.0944     0.018114
ENSG00000162591    1    3406484    3528059    574      83  391906        1.966      0.02465
ENSG00000158109    1    3541566    3546691     12       4  391906     -0.38784      0.65093
ENSG00000116213    1    3547331    3569325     56      14  391906     -0.12574      0.55003
ENSG00000078900    1    3569084    3652765    346      56  391906      0.73498      0.23118
ENSG00000162592    1    3668962    3688209     78      17  391906      -1.1386      0.87256
ENSG00000235169    1    3689352    3692546     13       5  391906     -0.35691      0.63942
ENSG00000130764    1    3696784    3713068     84      16  391906     -0.81309      0.79192
