GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000187634    1     860260     879955     91      21  422106      0.67555      0.24966
ENSG00000188976    1     879584     894689     66      11  422106     0.098966      0.46058
ENSG00000187961    1     895967     901095     37       7  422106     -0.22038      0.58721
ENSG00000187583    1     901877     911245     49      19  422106       1.8908     0.029323
ENSG00000187642    1     910579     917497     28       7  422106       2.4016    0.0081627
ENSG00000188290    1     934342     935552      4       2  422106       2.0288     0.021241
ENSG00000187608    1     948803     949920      6       2  422106       0.9051      0.18271
ENSG00000188157    1     955503     991496    159      21  422106       2.8622    0.0021036
ENSG00000237330    1    1006346    1009687     10       4  422106      0.38099      0.35161
ENSG00000131591    1    1017198    1051741    139      14  422106     -0.47171      0.68143
ENSG00000162571    1    1109264    1133315    156      18  422106      0.84095      0.20019
ENSG00000186891    1    1138888    1142071     11       3  422106     -0.44248      0.67093
ENSG00000186827    1    1146706    1149518     11       4  422106     -0.14075      0.55597
ENSG00000078808    1    1152288    1167411     99       5  422106      0.50518      0.30672
ENSG00000176022    1    1167629    1170421     10       3  422106     -0.24902      0.59833
ENSG00000184163    1    1177826    1182102     15       4  422106        0.957      0.16928
ENSG00000160087    1    1189289    1209265     65      12  422106     -0.72503      0.76578
ENSG00000162572    1    1215816    1227409     48      15  422106     -0.20376      0.58073
ENSG00000131584    1    1227756    1244989     75      14  422106     -0.55621      0.71097
ENSG00000169972    1    1243947    1247057      4       2  422106      0.33157      0.37011
ENSG00000127054    1    1246965    1260071     20       5  422106      0.31734      0.37549
ENSG00000224051    1    1260136    1264277     13       3  422106    -0.032527      0.51297
ENSG00000169962    1    1266694    1270686     15       6  422106     -0.46835      0.68023
ENSG00000107404    1    1270656    1284730     43       8  422106     -0.57698      0.71802
ENSG00000162576    1    1288069    1297157     28       5  422106      0.13806       0.4451
ENSG00000175756    1    1309110    1310875     10       4  422106      -0.4523      0.67447
ENSG00000221978    1    1321091    1334708     27       8  422106       1.1196      0.13144
ENSG00000242485    1    1337288    1342693     18       7  422106      0.65245      0.25706
ENSG00000235098    1    1353800    1357149      9       3  422106       1.0735      0.14152
ENSG00000205116    1    1361508    1363167      9       3  422106        2.764     0.002855
ENSG00000179403    1    1370241    1378262     21       5  422106       2.6059    0.0045813
ENSG00000215915    1    1385069    1405538     94      12  422106       2.1823     0.014543
ENSG00000160072    1    1407143    1433228    126      12  422106       1.4638     0.071626
ENSG00000197785    1    1447531    1470067     97      12  422106     0.082173      0.46725
ENSG00000205090    1    1470554    1475833     10       4  422106       0.2973      0.38312
ENSG00000160075    1    1477053    1510249    104      10  422106      0.09174      0.46345
ENSG00000228594    1    1533392    1535476      2       1  422106      0.99006      0.16107
ENSG00000197530    1    1550795    1565990     34       6  422106       2.4555    0.0070348
ENSG00000248333    1    1570603    1590473     30       5  422106        2.668    0.0038149
ENSG00000189339    1    1592939    1624167     69      11  422106       2.2515     0.012176
ENSG00000008128    1    1634169    1655766    101       6  422106      0.10031      0.46005
ENSG00000215790    1    1656277    1677431     69       7  422106       1.1544      0.12416
ENSG00000008130    1    1682671    1711896     81      12  422106      0.95963      0.16862
ENSG00000078369    1    1716729    1822495    193      26  422106      0.89139      0.18636
ENSG00000169885    1    1846266    1848735     12       3  422106     0.042532      0.48304
ENSG00000178821    1    1849029    1850712      7       3  422106     0.098425       0.4608
ENSG00000142609    1    1853396    1935276    371      26  422106    0.0064693      0.49742
ENSG00000187730    1    1950780    1962192     36       9  422106      0.90292      0.18329
ENSG00000067606    1    1981909    2116834    506      34  422106       2.9556    0.0015601
ENSG00000162585    1    2115903    2144159     69      17  422106       2.4711    0.0067351
ENSG00000157933    1    2160134    2241558    294      52  422106       3.5335   0.00020505
ENSG00000116151    1    2252692    2323146    373      45  422106      0.15831      0.43711
ENSG00000157916    1    2323267    2336883     44      14  422106     0.086593       0.4655
ENSG00000157911    1    2336236    2345236     38      14  422106      0.28196      0.38899
ENSG00000149527    1    2357419    2436969    359      47  422106    -0.027405      0.51093
ENSG00000157881    1    2439972    2458039     82      17  422106      0.18022      0.42849
ENSG00000197921    1    2460184    2461684      5       3  422106       1.7939     0.036412
ENSG00000157873    1    2487078    2496821     31       8  422106     -0.48939      0.68772
ENSG00000157870    1    2517930    2522908     14       6  422106      0.19714      0.42186
ENSG00000142606    1    2522078    2564481    192      13  422106       0.4937      0.31076
ENSG00000215912    1    2567415    2718286    396      22  422106       1.1652      0.12197
ENSG00000169717    1    2938046    2939465      4       2  422106      0.38384      0.35055
ENSG00000142611    1    2985732    3355185   1726     170  422106       3.5439   0.00019712
ENSG00000130762    1    3370990    3397677    100      12  422106      0.64739      0.25869
ENSG00000162591    1    3406484    3528059    574      83  422106     -0.50772      0.69417
ENSG00000158109    1    3541566    3546691     12       4  422106     -0.44736      0.67269
ENSG00000116213    1    3547331    3569325     56      14  422106     -0.24056      0.59505
ENSG00000078900    1    3569084    3652765    346      56  422106     -0.24894       0.5983
ENSG00000162592    1    3668962    3688209     78      17  422106       -1.122      0.86906
ENSG00000235169    1    3689352    3692546     13       5  422106     -0.91902      0.82096
ENSG00000130764    1    3696784    3713068     84      16  422106     -0.89179      0.81375
ENSG00000116198    1    3728645    3773778    313      18  422106      0.21782      0.41378
ENSG00000169598    1    3773845    3801993    186      26  422106       1.3424     0.089738
ENSG00000198912    1    3805689    3816857     55      12  422106      0.88918      0.18695
ENSG00000196581    1    4714792    4852594    767      87  422106      0.93936      0.17377
ENSG00000131697    1    5922871    6052533    474      27  422106      -2.0732      0.98092
