GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000187634    1     860260     879955     91      21  469477       1.3581     0.087221
ENSG00000188976    1     879584     894689     66      11  469477     -0.17613       0.5699
ENSG00000187961    1     895967     901095     37       7  469477     0.065597      0.47385
ENSG00000187583    1     901877     911245     49      19  469477       1.6335     0.051179
ENSG00000187642    1     910579     917497     28       7  469477       2.0047     0.022495
ENSG00000188290    1     934342     935552      4       2  469477       0.5038       0.3072
ENSG00000187608    1     948803     949920      6       2  469477     -0.39364      0.65307
ENSG00000188157    1     955503     991496    159      21  469477        2.746    0.0030163
ENSG00000237330    1    1006346    1009687     10       4  469477       2.4422    0.0072981
ENSG00000131591    1    1017198    1051741    139      14  469477       3.2157    0.0006506
ENSG00000162571    1    1109264    1133315    156      18  469477      0.90672      0.18228
ENSG00000186891    1    1138888    1142071     11       3  469477      -1.0781      0.85952
ENSG00000186827    1    1146706    1149518     11       4  469477      0.23543      0.40694
ENSG00000078808    1    1152288    1167411     99       5  469477      0.39082      0.34796
ENSG00000176022    1    1167629    1170421     10       3  469477       1.2646        0.103
ENSG00000184163    1    1177826    1182102     15       4  469477     -0.15793      0.56274
ENSG00000160087    1    1189289    1209265     65      12  469477      0.25031      0.40117
ENSG00000162572    1    1215816    1227409     48      15  469477     -0.11542      0.54594
ENSG00000131584    1    1227756    1244989     75      14  469477       1.0371      0.14985
ENSG00000169972    1    1243947    1247057      4       2  469477      0.41807      0.33795
ENSG00000127054    1    1246965    1260071     20       5  469477       1.4062     0.079836
ENSG00000224051    1    1260136    1264277     13       3  469477      0.54884      0.29156
ENSG00000169962    1    1266694    1270686     15       6  469477       2.4346    0.0074536
ENSG00000107404    1    1270656    1284730     43       8  469477        1.975     0.024136
ENSG00000162576    1    1288069    1297157     28       5  469477       1.2475      0.10611
ENSG00000175756    1    1309110    1310875     10       4  469477       2.0288     0.021241
ENSG00000221978    1    1321091    1334708     27       8  469477       1.2502      0.10561
ENSG00000242485    1    1337288    1342693     18       7  469477      0.88291      0.18864
ENSG00000235098    1    1353800    1357149      9       3  469477       1.0883      0.13823
ENSG00000205116    1    1361508    1363167      9       3  469477       1.1478      0.12552
ENSG00000179403    1    1370241    1378262     21       5  469477       1.2002      0.11503
ENSG00000215915    1    1385069    1405538     94      12  469477      0.75509       0.2251
ENSG00000160072    1    1407143    1433228    126      12  469477     -0.21854      0.58649
ENSG00000197785    1    1447531    1470067     97      12  469477      0.22931      0.40931
ENSG00000205090    1    1470554    1475833     10       4  469477      0.39262       0.3473
ENSG00000160075    1    1477053    1510249    104      10  469477      0.43389      0.33218
ENSG00000228594    1    1533392    1535476      2       1  469477       2.0148     0.021964
ENSG00000197530    1    1550795    1565990     34       6  469477       2.5431    0.0054935
ENSG00000248333    1    1570603    1590473     30       5  469477      0.96521      0.16722
ENSG00000189339    1    1592939    1624167     69      11  469477       2.0976     0.017969
ENSG00000008128    1    1634169    1655766    101       6  469477     -0.50573      0.69348
ENSG00000215790    1    1656277    1677431     69       7  469477       2.8573    0.0021366
ENSG00000008130    1    1682671    1711896     81      12  469477       3.6422   0.00013518
ENSG00000078369    1    1716729    1822495    193      26  469477       3.5535   0.00019008
ENSG00000169885    1    1846266    1848735     12       3  469477       3.1165   0.00091508
ENSG00000178821    1    1849029    1850712      7       3  469477        3.571   0.00017783
ENSG00000142609    1    1853396    1935276    371      26  469477       2.0452     0.020415
ENSG00000187730    1    1950780    1962192     36       9  469477      0.14626      0.44186
ENSG00000067606    1    1981909    2116834    506      34  469477       1.8087     0.035248
ENSG00000162585    1    2115903    2144159     69      17  469477       2.0893      0.01834
ENSG00000157933    1    2160134    2241558    294      52  469477       6.2541   1.9996e-10
ENSG00000116151    1    2252692    2323146    373      45  469477       5.4589   2.3955e-08
ENSG00000157916    1    2323267    2336883     44      14  469477       2.2914     0.010971
ENSG00000157911    1    2336236    2345236     38      14  469477       3.6704   0.00012106
ENSG00000149527    1    2357419    2436969    359      47  469477       1.3108     0.094958
ENSG00000157881    1    2439972    2458039     82      17  469477      0.35714      0.36049
ENSG00000197921    1    2460184    2461684      5       3  469477    -0.027151      0.51083
ENSG00000157873    1    2487078    2496821     31       8  469477      0.48343       0.3144
ENSG00000157870    1    2517930    2522908     14       6  469477       1.0588      0.14484
ENSG00000142606    1    2522078    2564481    192      13  469477      0.10207      0.45935
ENSG00000215912    1    2567415    2718286    396      22  469477        1.242      0.10712
ENSG00000169717    1    2938046    2939465      4       2  469477       2.4741    0.0066791
ENSG00000142611    1    2985732    3355185   1726     170  469477       10.624   1.1519e-26
ENSG00000130762    1    3370990    3397677    100      12  469477       2.7663    0.0028345
ENSG00000162591    1    3406484    3528059    574      83  469477        3.361   0.00038826
ENSG00000158109    1    3541566    3546691     12       4  469477       2.4914    0.0063622
ENSG00000116213    1    3547331    3569325     56      14  469477       1.0148      0.15511
ENSG00000078900    1    3569084    3652765    346      56  469477       2.2055     0.013708
ENSG00000162592    1    3668962    3688209     78      17  469477       4.9791   3.1941e-07
ENSG00000235169    1    3689352    3692546     13       5  469477       7.7866   3.4417e-15
ENSG00000130764    1    3696784    3713068     84      16  469477        6.704   1.0138e-11
ENSG00000116198    1    3728645    3773778    313      18  469477         7.16   4.0334e-13
ENSG00000169598    1    3773845    3801993    186      26  469477       4.7208   1.1747e-06
ENSG00000198912    1    3805689    3816857     55      12  469477       3.1712   0.00075893
ENSG00000196581    1    4714792    4852594    767      87  469477      0.84975      0.19773
ENSG00000131697    1    5922871    6052533    474      27  469477    -0.097354      0.53878
ENSG00000069424    1    6051526    6161253    385      62  469477      0.19936      0.42099
ENSG00000116254    1    6161853    6240183    330      37  469477     -0.62959      0.73552
ENSG00000116251    1    6241329    6269449     75      15  469477      0.32924      0.37099
ENSG00000158286    1    6265535    6281359     51       8  469477      -1.0064      0.84288
ENSG00000116237    1    6281253    6296032     46       9  469477      -1.5403      0.93825
ENSG00000173673    1    6304252    6305638      6       3  469477      0.11268      0.45514
ENSG00000158292    1    6307406    6321035     42       4  469477     -0.94014      0.82643
ENSG00000097021    1    6324329    6454451    559      29  469477       1.1731      0.12038
ENSG00000069812    1    6472478    6484730     46       9  469477      0.14148      0.44374
ENSG00000187017    1    6484848    6521430    121      14  469477        0.361      0.35905
ENSG00000215788    1    6521211    6526255     15       6  469477      0.39663      0.34582
ENSG00000171680    1    6526152    6580121    198      37  469477      0.68784      0.24578
ENSG00000162408    1    6581407    6614595    143       7  469477        2.582    0.0049118
ENSG00000173662    1    6615241    6639817     75      14  469477       2.8222    0.0023846
ENSG00000204859    1    6640061    6649340     16       8  469477      0.24709      0.40242
ENSG00000162413    1    6650784    6674667     61      17  469477       1.5659     0.058691
ENSG00000116273    1    6673745    6684093     25       6  469477       1.7561     0.039535
ENSG00000041988    1    6684926    6695646     37       8  469477       1.6456     0.049919
ENSG00000007923    1    6694228    6761984    181      24  469477       1.9732     0.024237
ENSG00000171735    1    6845384    7829766   3264     224  469477       5.7074   5.7343e-09
ENSG00000049245    1    7831329    7841492     37      10  469477       5.3909   3.5049e-08
ENSG00000049246    1    7844380    7905237    256      24  469477       5.2236   8.7754e-08
ENSG00000049247    1    7903143    7913572     44      14  469477       4.6601   1.5803e-06
ENSG00000049249    1    7979907    8000926     51       9  469477    -0.066545      0.52653
ENSG00000116288    1    8014351    8045565     76      14  469477       0.3695      0.35588
ENSG00000116285    1    8064464    8086368     37       8  469477      0.54436       0.2931
ENSG00000162426    1    8377886    8404227     90      14  469477       0.5573      0.28866
ENSG00000142599    1    8412457    8877702    878      32  469477      0.84956      0.19778
ENSG00000074800    1    8921061    8939308     32       7  469477     -0.54081      0.70568
ENSG00000131686    1    9005926    9035151    145      30  469477      0.67987      0.24829
ENSG00000197241    1    9063359    9086404     90      24  469477       2.1468     0.015904
ENSG00000142583    1    9095166    9148537    241      33  469477       2.7189    0.0032747
ENSG00000180758    1    9160364    9189229     96      16  469477       1.9379     0.026316
ENSG00000049239    1    9294834    9331396    120      23  469477       1.9484     0.025683
ENSG00000171621    1    9352939    9429591    415      65  469477      0.61761      0.26842
ENSG00000171612    1    9599541    9645237     79      14  469477      0.75375       0.2255
ENSG00000188807    1    9648932    9674935     52      11  469477     -0.15423      0.56129
ENSG00000171608    1    9711790    9789172    201      42  469477       2.1349     0.016386
ENSG00000179840    1    9712668    9714644      6       3  469477       1.0914      0.13755
ENSG00000171603    1    9789084    9884584    202      29  469477       1.0958      0.13658
ENSG00000178585    1    9908334    9970394    131      23  469477      0.52897      0.29841
ENSG00000162441    1    9982173   10003465     61      14  469477       1.0923      0.13736
ENSG00000173614    1   10003486   10045559    106      18  469477      0.95068      0.17088
ENSG00000162444    1   10057264   10076078     49       7  469477     -0.34498      0.63495
ENSG00000130939    1   10092890   10241297    434      28  469477      0.24762      0.40221
ENSG00000054523    1   10270863   10441661    603      19  469477       2.4641    0.0068682
