GENE             CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
ENSG00000187634    1     860260     879955     91      21  68577       -1.029      0.84827
ENSG00000188976    1     879584     894689     66      11  68577      0.23185      0.40833
ENSG00000187961    1     895967     901095     37       7  68577      0.42059      0.33703
ENSG00000187583    1     901877     911245     49      19  68577      -0.6193      0.73214
ENSG00000187642    1     910579     917497     28       7  68577      0.23746      0.40615
ENSG00000188290    1     934342     935552      4       2  68577      0.88753       0.1874
ENSG00000187608    1     948803     949920      6       2  68577      -0.8323      0.79738
ENSG00000188157    1     955503     991496    159      21  68577     -0.59652      0.72459
ENSG00000237330    1    1006346    1009687     10       4  68577       -0.671      0.74889
ENSG00000131591    1    1017198    1051741    139      14  68577      0.66816      0.25201
ENSG00000162571    1    1109264    1133315    156      18  68577        1.232      0.10897
ENSG00000186891    1    1138888    1142071     11       3  68577       1.7589     0.039297
ENSG00000186827    1    1146706    1149518     11       4  68577      -1.5864      0.94368
ENSG00000078808    1    1152288    1167411     99       5  68577      0.23643      0.40655
ENSG00000176022    1    1167629    1170421     10       3  68577      0.72279       0.2349
ENSG00000184163    1    1177826    1182102     15       4  68577       0.8716      0.19171
ENSG00000160087    1    1189289    1209265     65      12  68577      0.89786      0.18463
ENSG00000162572    1    1215816    1227409     48      15  68577       1.0324      0.15093
ENSG00000131584    1    1227756    1244989     75      14  68577      0.51933      0.30177
ENSG00000169972    1    1243947    1247057      4       2  68577       -1.089      0.86192
ENSG00000127054    1    1246965    1260071     20       5  68577     -0.12628      0.55025
ENSG00000224051    1    1260136    1264277     13       3  68577      0.74367      0.22854
ENSG00000169962    1    1266694    1270686     15       6  68577     -0.83546      0.79827
ENSG00000107404    1    1270656    1284730     43       8  68577     -0.15689      0.56233
ENSG00000162576    1    1288069    1297157     28       5  68577     -0.08962      0.53571
ENSG00000175756    1    1309110    1310875     10       4  68577      0.49163      0.31149
ENSG00000221978    1    1321091    1334708     27       8  68577     -0.17396      0.56905
ENSG00000242485    1    1337288    1342693     18       7  68577      0.41125      0.34045
ENSG00000235098    1    1353800    1357149      9       3  68577        1.021      0.15363
ENSG00000205116    1    1361508    1363167      9       3  68577     -0.42779       0.6656
ENSG00000179403    1    1370241    1378262     21       5  68577      -1.4021      0.91956
ENSG00000215915    1    1385069    1405538     94      12  68577      -0.2242       0.5887
ENSG00000160072    1    1407143    1433228    126      12  68577     -0.73222      0.76798
ENSG00000197785    1    1447531    1470067     97      12  68577     -0.30943       0.6215
ENSG00000205090    1    1470554    1475833     10       4  68577     -0.67657      0.75066
