GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000187634    1     860260     879955     85      21  351328       1.5735     0.057806
ENSG00000188976    1     879584     894689     53       9  351328      0.72698      0.23362
ENSG00000187961    1     895967     901095     34       7  351328       0.5554      0.28931
ENSG00000187583    1     901877     911245     48      19  351328       1.4121      0.07896
ENSG00000187642    1     910579     917497     28       7  351328       2.7068     0.003397
ENSG00000188290    1     934342     935552      4       2  351328      -1.0465      0.85233
ENSG00000187608    1     948803     949920      6       2  351328     -0.38397       0.6495
ENSG00000188157    1     955503     991496    158      21  351328       1.2087      0.11339
ENSG00000237330    1    1006346    1009687     10       4  351328       1.4026     0.080366
ENSG00000131591    1    1017198    1051741    137      14  351328       2.2724     0.011532
ENSG00000162571    1    1109264    1133315    155      18  351328      0.51374      0.30372
ENSG00000186891    1    1138888    1142071     11       3  351328     0.056395      0.47751
ENSG00000186827    1    1146706    1149518     11       4  351328     -0.24755      0.59776
ENSG00000078808    1    1152288    1167411     99       5  351328      0.11221      0.45533
ENSG00000176022    1    1167629    1170421     10       3  351328      0.59738      0.27513
ENSG00000184163    1    1177826    1182102     15       4  351328      -1.4591      0.92773
ENSG00000160087    1    1189289    1209265     63      11  351328     -0.49413      0.68939
ENSG00000162572    1    1215816    1227409     47      15  351328     -0.31663      0.62424
ENSG00000131584    1    1227756    1244989     61      10  351328      0.98922      0.16128
ENSG00000169972    1    1243947    1247057      4       2  351328      0.45867      0.32324
ENSG00000127054    1    1246965    1260071     20       5  351328       1.0594      0.14472
ENSG00000224051    1    1260136    1264277     13       3  351328      0.25006      0.40127
ENSG00000169962    1    1266694    1270686     15       6  351328       2.0498     0.020193
ENSG00000107404    1    1270656    1284730     43       8  351328        1.594     0.055463
ENSG00000162576    1    1288069    1297157     27       5  351328      0.93033       0.1761
ENSG00000175756    1    1309110    1310875     10       4  351328       2.2054     0.013711
ENSG00000221978    1    1321091    1334708     26       8  351328      0.80176      0.21134
ENSG00000242485    1    1337288    1342693     18       7  351328      0.84161          0.2
ENSG00000235098    1    1353800    1357149      9       3  351328      0.85813      0.19541
ENSG00000205116    1    1361508    1363167      9       3  351328      0.27898      0.39013
ENSG00000179403    1    1370241    1378262     21       5  351328      0.45679      0.32391
ENSG00000215915    1    1385069    1405538     69      11  351328      0.17537       0.4304
ENSG00000160072    1    1407143    1433228    109      10  351328     -0.52531      0.70032
ENSG00000197785    1    1447531    1470067     96      12  351328       1.0261      0.15242
ENSG00000205090    1    1470554    1475833     10       4  351328      0.85804      0.19543
ENSG00000160075    1    1477053    1510249    100      10  351328       1.3986      0.08096
ENSG00000228594    1    1533392    1535476      2       1  351328       1.1397      0.12721
ENSG00000197530    1    1550795    1565990     34       6  351328        2.194     0.014119
ENSG00000248333    1    1570603    1590473     29       4  351328       1.5134     0.065085
ENSG00000189339    1    1592939    1624167     68      11  351328       2.2179      0.01328
ENSG00000008128    1    1634169    1655766    101       6  351328      -1.5932      0.94445
ENSG00000215790    1    1656277    1677431     66       7  351328       1.3934     0.081744
ENSG00000008130    1    1682671    1711896     81      12  351328       2.2936     0.010908
ENSG00000078369    1    1716729    1822495    192      26  351328       1.8942     0.029096
ENSG00000169885    1    1846266    1848735     12       3  351328       1.9977     0.022873
ENSG00000178821    1    1849029    1850712      7       3  351328       2.1999     0.013907
ENSG00000142609    1    1853396    1935276    363      26  351328       1.0246      0.15278
ENSG00000187730    1    1950780    1962192     36       9  351328     -0.60672      0.72798
ENSG00000067606    1    1981909    2116834    501      34  351328      0.42494      0.33544
ENSG00000162585    1    2115903    2144159     68      16  351328      0.74232      0.22895
ENSG00000157933    1    2160134    2241558    292      52  351328       4.6758   1.4638e-06
ENSG00000116151    1    2252692    2323146    371      44  351328       3.9281   4.2816e-05
ENSG00000157916    1    2323267    2336883     41      13  351328       1.6353     0.050994
ENSG00000157911    1    2336236    2345236     38      14  351328       2.1758     0.014787
ENSG00000149527    1    2357419    2436969    354      48  351328      0.72598      0.23392
ENSG00000157881    1    2439972    2458039     81      17  351328      0.17331       0.4312
ENSG00000197921    1    2460184    2461684      5       3  351328        0.366      0.35718
ENSG00000157873    1    2487078    2496821     31       8  351328    -0.068542      0.52732
ENSG00000157870    1    2517930    2522908     14       6  351328       1.4651     0.071451
ENSG00000142606    1    2522078    2564481    190      13  351328      0.40795      0.34166
ENSG00000215912    1    2567415    2718286    393      21  351328       1.7515     0.039931
ENSG00000169717    1    2938046    2939465      4       2  351328       2.4844    0.0064883
ENSG00000142611    1    2985732    3355185   1708     171  351328       8.4201   1.8815e-17
