GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000187634    1     860260     879955     91      21  461507      0.29987      0.38214
ENSG00000188976    1     879584     894689     66      11  461507      0.21615      0.41443
ENSG00000187961    1     895967     901095     37       7  461507      0.72112      0.23542
ENSG00000187583    1     901877     911245     49      19  461507      0.12266      0.45119
ENSG00000187642    1     910579     917497     28       7  461507       1.8148      0.03478
ENSG00000188290    1     934342     935552      4       2  461507       1.7227     0.042471
ENSG00000187608    1     948803     949920      6       2  461507       1.3488     0.088701
ENSG00000188157    1     955503     991496    159      21  461507        2.357    0.0092112
ENSG00000237330    1    1006346    1009687     10       4  461507       2.3487    0.0094186
ENSG00000131591    1    1017198    1051741    139      14  461507       1.0791      0.14027
ENSG00000162571    1    1109264    1133315    156      18  461507     -0.89069      0.81345
ENSG00000186891    1    1138888    1142071     11       3  461507       1.3613     0.086715
ENSG00000186827    1    1146706    1149518     11       4  461507      0.49132       0.3116
ENSG00000078808    1    1152288    1167411     99       5  461507      0.37186        0.355
ENSG00000176022    1    1167629    1170421     10       3  461507      0.73687       0.2306
ENSG00000184163    1    1177826    1182102     15       4  461507     -0.28923       0.6138
ENSG00000160087    1    1189289    1209265     65      12  461507        2.347    0.0094618
ENSG00000162572    1    1215816    1227409     48      15  461507       2.0734     0.019069
ENSG00000131584    1    1227756    1244989     75      14  461507      0.77963      0.21781
ENSG00000169972    1    1243947    1247057      4       2  461507       1.8448     0.032533
ENSG00000127054    1    1246965    1260071     20       5  461507       2.5748    0.0050153
ENSG00000224051    1    1260136    1264277     13       3  461507       2.2652     0.011752
ENSG00000169962    1    1266694    1270686     15       6  461507       2.0337     0.020993
ENSG00000107404    1    1270656    1284730     43       8  461507       2.5271    0.0057501
ENSG00000162576    1    1288069    1297157     28       5  461507       2.4907    0.0063749
ENSG00000175756    1    1309110    1310875     10       4  461507       2.3497    0.0093937
ENSG00000221978    1    1321091    1334708     27       8  461507       2.0758     0.018955
ENSG00000242485    1    1337288    1342693     18       7  461507       1.5122     0.065247
ENSG00000235098    1    1353800    1357149      9       3  461507       2.0034     0.022568
ENSG00000205116    1    1361508    1363167      9       3  461507      0.33574      0.36853
ENSG00000179403    1    1370241    1378262     21       5  461507      0.94214      0.17306
ENSG00000215915    1    1385069    1405538     94      12  461507      0.85847      0.19532
ENSG00000160072    1    1407143    1433228    126      12  461507       1.8286     0.033729
ENSG00000197785    1    1447531    1470067     97      12  461507       1.3934     0.081754
ENSG00000205090    1    1470554    1475833     10       4  461507       1.9559     0.025236
ENSG00000160075    1    1477053    1510249    104      10  461507        1.775     0.037946
ENSG00000228594    1    1533392    1535476      2       1  461507     -0.46421      0.67875
ENSG00000197530    1    1550795    1565990     34       6  461507    -0.081653      0.53254
ENSG00000248333    1    1570603    1590473     30       5  461507      0.42678      0.33477
ENSG00000189339    1    1592939    1624167     69      11  461507      0.83063      0.20309
ENSG00000008128    1    1634169    1655766    101       6  461507       2.5874    0.0048357
ENSG00000215790    1    1656277    1677431     69       7  461507   -0.0025192      0.50101
ENSG00000008130    1    1682671    1711896     81      12  461507     -0.11091      0.54416
ENSG00000078369    1    1716729    1822495    193      26  461507      0.41771      0.33808
ENSG00000169885    1    1846266    1848735     12       3  461507      0.37342      0.35442
ENSG00000178821    1    1849029    1850712      7       3  461507       1.0886      0.13817
ENSG00000142609    1    1853396    1935276    371      26  461507      0.13271      0.44721
ENSG00000187730    1    1950780    1962192     36       9  461507     0.023351      0.49069
ENSG00000067606    1    1981909    2116834    506      34  461507      0.46982      0.31924
ENSG00000162585    1    2115903    2144159     69      17  461507     -0.74878      0.77301
ENSG00000157933    1    2160134    2241558    294      52  461507       2.2353     0.012697
ENSG00000116151    1    2252692    2323146    373      45  461507      0.46264      0.32181
ENSG00000157916    1    2323267    2336883     44      14  461507        1.332     0.091425
ENSG00000157911    1    2336236    2345236     38      14  461507       1.7287     0.041931
ENSG00000149527    1    2357419    2436969    359      47  461507       1.3769     0.084272
ENSG00000157881    1    2439972    2458039     82      17  461507      0.40373      0.34321
ENSG00000197921    1    2460184    2461684      5       3  461507       1.3409     0.089984
ENSG00000157873    1    2487078    2496821     31       8  461507      0.88721      0.18748
ENSG00000157870    1    2517930    2522908     14       6  461507     -0.39997      0.65541
ENSG00000142606    1    2522078    2564481    192      13  461507     -0.77452      0.78069
ENSG00000215912    1    2567415    2718286    396      22  461507    -0.093964      0.53743
ENSG00000169717    1    2938046    2939465      4       2  461507       0.8535      0.19669
ENSG00000142611    1    2985732    3355185   1726     170  461507       2.4495    0.0071529
ENSG00000130762    1    3370990    3397677    100      12  461507       1.2843     0.099523
ENSG00000162591    1    3406484    3528059    574      83  461507      0.53401      0.29667
ENSG00000158109    1    3541566    3546691     12       4  461507      0.95238      0.17045
ENSG00000116213    1    3547331    3569325     56      14  461507      0.83378       0.2022
ENSG00000078900    1    3569084    3652765    346      56  461507       2.2998      0.01073
ENSG00000162592    1    3668962    3688209     78      17  461507       1.1078      0.13396
ENSG00000235169    1    3689352    3692546     13       5  461507       1.6958     0.044964
ENSG00000130764    1    3696784    3713068     84      16  461507      0.63873       0.2615
ENSG00000116198    1    3728645    3773778    313      18  461507       1.0681      0.14274
ENSG00000169598    1    3773845    3801993    186      26  461507     -0.14684      0.55837
ENSG00000198912    1    3805689    3816857     55      12  461507       1.3886     0.082484
ENSG00000196581    1    4714792    4852594    767      87  461507     -0.12946      0.55151
ENSG00000131697    1    5922871    6052533    474      27  461507       1.0577       0.1451
ENSG00000069424    1    6051526    6161253    385      62  461507       2.5166    0.0059243
