GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000187634    1     860260     879955     91      21  422149       0.7521      0.22599
ENSG00000188976    1     879584     894689     66      11  422149      0.54346      0.29341
ENSG00000187961    1     895967     901095     37       7  422149     0.029432      0.48826
ENSG00000187583    1     901877     911245     49      19  422149       3.1578   0.00079475
ENSG00000187642    1     910579     917497     28       7  422149       2.7868    0.0026612
ENSG00000188290    1     934342     935552      4       2  422149       2.7746    0.0027639
ENSG00000187608    1     948803     949920      6       2  422149       3.8592   5.6884e-05
ENSG00000188157    1     955503     991496    159      21  422149       2.5062    0.0061022
ENSG00000237330    1    1006346    1009687     10       4  422149       2.9244    0.0017256
ENSG00000131591    1    1017198    1051741    139      14  422149       1.7753     0.037928
ENSG00000162571    1    1109264    1133315    156      18  422149       1.0981      0.13609
ENSG00000186891    1    1138888    1142071     11       3  422149       0.8664      0.19314
ENSG00000186827    1    1146706    1149518     11       4  422149       2.7323    0.0031451
ENSG00000078808    1    1152288    1167411     99       5  422149        1.704     0.044188
ENSG00000176022    1    1167629    1170421     10       3  422149       2.1185     0.017066
ENSG00000184163    1    1177826    1182102     15       4  422149       1.6835     0.046139
ENSG00000160087    1    1189289    1209265     65      12  422149       1.2125      0.11267
ENSG00000162572    1    1215816    1227409     48      15  422149      0.38715      0.34932
ENSG00000131584    1    1227756    1244989     75      14  422149        1.174      0.12019
ENSG00000169972    1    1243947    1247057      4       2  422149     -0.03128      0.51248
ENSG00000127054    1    1246965    1260071     20       5  422149      0.54991      0.29119
ENSG00000224051    1    1260136    1264277     13       3  422149      -1.0055      0.84267
ENSG00000169962    1    1266694    1270686     15       6  422149     -0.15772      0.56266
ENSG00000107404    1    1270656    1284730     43       8  422149      0.89003      0.18672
ENSG00000162576    1    1288069    1297157     28       5  422149      0.24833      0.40194
ENSG00000175756    1    1309110    1310875     10       4  422149       3.0956   0.00098219
ENSG00000221978    1    1321091    1334708     27       8  422149       1.8543     0.031845
ENSG00000242485    1    1337288    1342693     18       7  422149       2.2281     0.012937
ENSG00000235098    1    1353800    1357149      9       3  422149      0.71978      0.23583
ENSG00000205116    1    1361508    1363167      9       3  422149       1.5395     0.061837
ENSG00000179403    1    1370241    1378262     21       5  422149       1.9603     0.024983
ENSG00000215915    1    1385069    1405538     94      12  422149     -0.97568      0.83539
ENSG00000160072    1    1407143    1433228    126      12  422149      0.28688       0.3871
ENSG00000197785    1    1447531    1470067     97      12  422149       1.6965     0.044894
ENSG00000205090    1    1470554    1475833     10       4  422149       4.9484   3.7419e-07
ENSG00000160075    1    1477053    1510249    104      10  422149       5.3248   5.0535e-08
ENSG00000228594    1    1533392    1535476      2       1  422149      0.39716      0.34563
ENSG00000197530    1    1550795    1565990     34       6  422149       3.4822   0.00024862
