GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000187634    1     860260     879955     91      21  460502      0.47281      0.31817
ENSG00000188976    1     879584     894689     66      11  460502      0.51054      0.30484
ENSG00000187961    1     895967     901095     37       7  460502     -0.34999      0.63683
ENSG00000187583    1     901877     911245     49      19  460502     -0.85641      0.80412
ENSG00000187642    1     910579     917497     28       7  460502      0.18817      0.42537
ENSG00000188290    1     934342     935552      4       2  460502       1.1822      0.11857
ENSG00000187608    1     948803     949920      6       2  460502       1.8865     0.029615
ENSG00000188157    1     955503     991496    159      21  460502       1.9434     0.025985
ENSG00000237330    1    1006346    1009687     10       4  460502       2.5839    0.0048839
ENSG00000131591    1    1017198    1051741    139      14  460502      0.64516      0.25941
ENSG00000162571    1    1109264    1133315    156      18  460502      -2.4649      0.99315
ENSG00000186891    1    1138888    1142071     11       3  460502      -1.4057       0.9201
ENSG00000186827    1    1146706    1149518     11       4  460502      0.28041      0.38958
ENSG00000078808    1    1152288    1167411     99       5  460502    -0.078175      0.53116
ENSG00000176022    1    1167629    1170421     10       3  460502       1.2179      0.11162
ENSG00000184163    1    1177826    1182102     15       4  460502     -0.35093      0.63718
ENSG00000160087    1    1189289    1209265     65      12  460502     -0.26677      0.60518
ENSG00000162572    1    1215816    1227409     48      15  460502     -0.37593      0.64651
ENSG00000131584    1    1227756    1244989     75      14  460502      -0.3898      0.65166
ENSG00000169972    1    1243947    1247057      4       2  460502      0.23108      0.40863
ENSG00000127054    1    1246965    1260071     20       5  460502      0.99067      0.16092
ENSG00000224051    1    1260136    1264277     13       3  460502      0.21834      0.41358
ENSG00000169962    1    1266694    1270686     15       6  460502       1.2102       0.1131
ENSG00000107404    1    1270656    1284730     43       8  460502       1.1916       0.1167
ENSG00000162576    1    1288069    1297157     28       5  460502      0.50973      0.30512
ENSG00000175756    1    1309110    1310875     10       4  460502       2.4665    0.0068228
ENSG00000221978    1    1321091    1334708     27       8  460502       1.5177     0.064548
ENSG00000242485    1    1337288    1342693     18       7  460502       1.5599     0.059392
ENSG00000235098    1    1353800    1357149      9       3  460502      0.32023       0.3744
ENSG00000205116    1    1361508    1363167      9       3  460502      0.74698      0.22754
ENSG00000179403    1    1370241    1378262     21       5  460502      -1.1617      0.87733
ENSG00000215915    1    1385069    1405538     94      12  460502     -0.75044      0.77351
ENSG00000160072    1    1407143    1433228    126      12  460502       1.2388       0.1077
ENSG00000197785    1    1447531    1470067     97      12  460502      0.88128      0.18908
ENSG00000205090    1    1470554    1475833     10       4  460502        1.874     0.030469
ENSG00000160075    1    1477053    1510249    104      10  460502       1.0776       0.1406
ENSG00000228594    1    1533392    1535476      2       1  460502       2.5558    0.0052965
ENSG00000197530    1    1550795    1565990     34       6  460502       6.6615   1.3557e-11
ENSG00000248333    1    1570603    1590473     30       5  460502       6.6122   1.8938e-11
ENSG00000189339    1    1592939    1624167     69      11  460502       5.9898   1.0508e-09
ENSG00000008128    1    1634169    1655766    101       6  460502       2.2494     0.012242
ENSG00000215790    1    1656277    1677431     69       7  460502       1.9082     0.028183
ENSG00000008130    1    1682671    1711896     81      12  460502      0.73873      0.23004
ENSG00000078369    1    1716729    1822495    193      26  460502      0.86558      0.19336
ENSG00000169885    1    1846266    1848735     12       3  460502     -0.46343      0.67847
ENSG00000178821    1    1849029    1850712      7       3  460502     0.062321      0.47515
ENSG00000142609    1    1853396    1935276    371      26  460502      0.26481      0.39558
ENSG00000187730    1    1950780    1962192     36       9  460502      0.80965      0.20907
ENSG00000067606    1    1981909    2116834    506      34  460502       1.0169      0.15459
ENSG00000162585    1    2115903    2144159     69      17  460502      0.49994      0.30856
ENSG00000157933    1    2160134    2241558    294      52  460502       2.5498    0.0053885
ENSG00000116151    1    2252692    2323146    373      45  460502       0.3428      0.36587
ENSG00000157916    1    2323267    2336883     44      14  460502     -0.43781      0.66924
ENSG00000157911    1    2336236    2345236     38      14  460502      0.84344      0.19949
