GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000187634    1     860260     879955     91      21  422405       1.8943     0.029092
ENSG00000188976    1     879584     894689     66      11  422405       3.0766    0.0010469
ENSG00000187961    1     895967     901095     37       7  422405       3.0068    0.0013199
ENSG00000187583    1     901877     911245     49      19  422405       1.9096     0.028095
ENSG00000187642    1     910579     917497     28       7  422405       3.8901   5.0093e-05
ENSG00000188290    1     934342     935552      4       2  422405       4.8411   6.4545e-07
ENSG00000187608    1     948803     949920      6       2  422405       2.0392     0.020713
ENSG00000188157    1     955503     991496    159      21  422405       2.8151    0.0024381
ENSG00000237330    1    1006346    1009687     10       4  422405        1.291     0.098351
ENSG00000131591    1    1017198    1051741    139      14  422405      0.68844      0.24559
ENSG00000162571    1    1109264    1133315    156      18  422405      0.26243       0.3965
ENSG00000186891    1    1138888    1142071     11       3  422405       1.4537      0.07301
ENSG00000186827    1    1146706    1149518     11       4  422405       1.5461     0.061036
ENSG00000078808    1    1152288    1167411     99       5  422405      0.45507      0.32453
ENSG00000176022    1    1167629    1170421     10       3  422405       1.7017     0.044407
ENSG00000184163    1    1177826    1182102     15       4  422405      0.13108      0.44786
ENSG00000160087    1    1189289    1209265     65      12  422405       2.2158     0.013354
ENSG00000162572    1    1215816    1227409     48      15  422405       2.3914    0.0083913
ENSG00000131584    1    1227756    1244989     75      14  422405       2.0196     0.021712
ENSG00000169972    1    1243947    1247057      4       2  422405         1.45     0.073535
ENSG00000127054    1    1246965    1260071     20       5  422405       2.0516     0.020104
ENSG00000224051    1    1260136    1264277     13       3  422405       2.0791     0.018805
ENSG00000169962    1    1266694    1270686     15       6  422405       1.6532      0.04915
ENSG00000107404    1    1270656    1284730     43       8  422405       2.0365      0.02085
ENSG00000162576    1    1288069    1297157     28       5  422405       1.9631     0.024816
ENSG00000175756    1    1309110    1310875     10       4  422405       1.4023     0.080411
ENSG00000221978    1    1321091    1334708     27       8  422405       1.8725     0.030566
ENSG00000242485    1    1337288    1342693     18       7  422405       1.2263      0.11004
ENSG00000235098    1    1353800    1357149      9       3  422405      0.55413      0.28974
ENSG00000205116    1    1361508    1363167      9       3  422405       1.5952     0.055328
ENSG00000179403    1    1370241    1378262     21       5  422405       2.6017    0.0046381
ENSG00000215915    1    1385069    1405538     94      12  422405        1.571     0.058089
ENSG00000160072    1    1407143    1433228    126      12  422405       1.2905      0.09843
ENSG00000197785    1    1447531    1470067     97      12  422405       1.1212      0.13111
ENSG00000205090    1    1470554    1475833     10       4  422405       2.7941    0.0026026
ENSG00000160075    1    1477053    1510249    104      10  422405        2.464    0.0068694
ENSG00000228594    1    1533392    1535476      2       1  422405       1.1288       0.1295
ENSG00000197530    1    1550795    1565990     34       6  422405       2.3513    0.0093535
ENSG00000248333    1    1570603    1590473     30       5  422405       0.6787      0.24866
ENSG00000189339    1    1592939    1624167     69      11  422405        1.216      0.11199
ENSG00000008128    1    1634169    1655766    101       6  422405      0.98192      0.16307
ENSG00000215790    1    1656277    1677431     69       7  422405       2.7996    0.0025583
ENSG00000008130    1    1682671    1711896     81      12  422405        4.751    1.012e-06
ENSG00000078369    1    1716729    1822495    193      26  422405       5.6223   9.4209e-09
ENSG00000169885    1    1846266    1848735     12       3  422405       4.6978   1.3152e-06
ENSG00000178821    1    1849029    1850712      7       3  422405       4.9628   3.4734e-07
ENSG00000142609    1    1853396    1935276    371      26  422405       3.9486    3.931e-05
ENSG00000187730    1    1950780    1962192     36       9  422405       0.9491      0.17129
ENSG00000067606    1    1981909    2116834    506      34  422405       1.8201     0.034372
ENSG00000162585    1    2115903    2144159     69      17  422405       2.4545    0.0070537
ENSG00000157933    1    2160134    2241558    294      52  422405       2.4218    0.0077224
ENSG00000116151    1    2252692    2323146    373      45  422405       2.3422    0.0095864
ENSG00000157916    1    2323267    2336883     44      14  422405       2.9923    0.0013845
ENSG00000157911    1    2336236    2345236     38      14  422405       3.3981   0.00033928
ENSG00000149527    1    2357419    2436969    359      47  422405       1.3132     0.094553
ENSG00000157881    1    2439972    2458039     82      17  422405     -0.10622       0.5423
ENSG00000197921    1    2460184    2461684      5       3  422405       2.0709     0.019185
ENSG00000157873    1    2487078    2496821     31       8  422405       2.0411     0.020621
ENSG00000157870    1    2517930    2522908     14       6  422405       1.6833     0.046158
ENSG00000142606    1    2522078    2564481    192      13  422405       1.0236      0.15301
ENSG00000215912    1    2567415    2718286    396      22  422405       1.8939     0.029116
ENSG00000169717    1    2938046    2939465      4       2  422405       1.8891     0.029442
ENSG00000142611    1    2985732    3355185   1726     170  422405       4.8677   5.6448e-07
ENSG00000130762    1    3370990    3397677    100      12  422405      0.88493       0.1881
ENSG00000162591    1    3406484    3528059    574      83  422405      0.68797      0.24574
ENSG00000158109    1    3541566    3546691     12       4  422405       1.0405      0.14905
ENSG00000116213    1    3547331    3569325     56      14  422405       1.3906     0.082175
ENSG00000078900    1    3569084    3652765    346      56  422405       2.7049    0.0034162
ENSG00000162592    1    3668962    3688209     78      17  422405       2.8387    0.0022648
ENSG00000235169    1    3689352    3692546     13       5  422405     -0.70435      0.75939
ENSG00000130764    1    3696784    3713068     84      16  422405     -0.48828      0.68732
ENSG00000116198    1    3728645    3773778    313      18  422405     -0.10992      0.54377
ENSG00000169598    1    3773845    3801993    186      26  422405      0.18022      0.42849
ENSG00000198912    1    3805689    3816857     55      12  422405       1.3569     0.087413
ENSG00000196581    1    4714792    4852594    767      87  422405        2.514     0.005969
ENSG00000131697    1    5922871    6052533    474      27  422405       1.2712      0.10183
ENSG00000069424    1    6051526    6161253    385      62  422405       1.5158     0.064791
ENSG00000116254    1    6161853    6240183    330      37  422405      0.99385      0.16015
ENSG00000116251    1    6241329    6269449     75      15  422405       1.3107     0.094988
ENSG00000158286    1    6265535    6281359     51       8  422405       1.8439       0.0326
ENSG00000116237    1    6281253    6296032     46       9  422405       1.4587     0.072325
ENSG00000173673    1    6304252    6305638      6       3  422405     -0.37587      0.64649
ENSG00000158292    1    6307406    6321035     42       4  422405     -0.24047      0.59502
ENSG00000097021    1    6324329    6454451    559      29  422405       0.8276      0.20395
ENSG00000069812    1    6472478    6484730     46       9  422405      0.21264       0.4158
ENSG00000187017    1    6484848    6521430    121      14  422405      0.60513      0.27255
ENSG00000215788    1    6521211    6526255     15       6  422405       1.2721      0.10167
ENSG00000171680    1    6526152    6580121    198      37  422405       2.6139     0.004476
ENSG00000162408    1    6581407    6614595    143       7  422405       1.0864      0.13866
ENSG00000173662    1    6615241    6639817     75      14  422405       1.2458      0.10642
ENSG00000204859    1    6640061    6649340     16       8  422405       1.9846     0.023594
ENSG00000162413    1    6650784    6674667     61      17  422405       4.1154   1.9324e-05
ENSG00000116273    1    6673745    6684093     25       6  422405       4.1284   1.8267e-05
ENSG00000041988    1    6684926    6695646     37       8  422405       3.0355    0.0012007
ENSG00000007923    1    6694228    6761984    181      24  422405       3.6283   0.00014262
