GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000187634    1     860260     879955     85      21  351324     -0.34453      0.63478
ENSG00000188976    1     879584     894689     53       9  351324      -1.7855      0.96291
ENSG00000187961    1     895967     901095     34       7  351324      -2.3764      0.99126
ENSG00000187583    1     901877     911245     48      19  351324      0.52322      0.30041
ENSG00000187642    1     910579     917497     28       7  351324      0.04339       0.4827
ENSG00000188290    1     934342     935552      4       2  351324     0.042511      0.48305
ENSG00000187608    1     948803     949920      6       2  351324      0.20179      0.42004
ENSG00000188157    1     955503     991496    158      21  351324     -0.36796      0.64355
ENSG00000237330    1    1006346    1009687     10       4  351324      0.86305      0.19406
ENSG00000131591    1    1017198    1051741    137      14  351324     -0.29609      0.61642
ENSG00000162571    1    1109264    1133315    155      18  351324     0.015407      0.49385
ENSG00000186891    1    1138888    1142071     11       3  351324      0.41696      0.33835
ENSG00000186827    1    1146706    1149518     11       4  351324     0.083967      0.46654
ENSG00000078808    1    1152288    1167411     99       5  351324     -0.49857      0.69096
ENSG00000176022    1    1167629    1170421     10       3  351324      0.10978      0.45629
ENSG00000184163    1    1177826    1182102     15       4  351324      0.32957      0.37086
ENSG00000160087    1    1189289    1209265     63      11  351324      0.56844      0.28487
ENSG00000162572    1    1215816    1227409     47      15  351324     -0.60741      0.72821
ENSG00000131584    1    1227756    1244989     61      10  351324     -0.11149      0.54439
ENSG00000169972    1    1243947    1247057      4       2  351324      -1.4872      0.93152
ENSG00000127054    1    1246965    1260071     20       5  351324     -0.72715      0.76643
ENSG00000224051    1    1260136    1264277     13       3  351324      -1.7395      0.95903
ENSG00000169962    1    1266694    1270686     15       6  351324      -1.3327      0.90868
ENSG00000107404    1    1270656    1284730     43       8  351324      -1.6527       0.9508
ENSG00000162576    1    1288069    1297157     27       5  351324      -1.8612      0.96864
ENSG00000175756    1    1309110    1310875     10       4  351324     -0.29018      0.61416
ENSG00000221978    1    1321091    1334708     26       8  351324      -0.0764      0.53045
ENSG00000242485    1    1337288    1342693     18       7  351324      0.76635      0.22173
ENSG00000235098    1    1353800    1357149      9       3  351324       1.5114     0.065342
ENSG00000205116    1    1361508    1363167      9       3  351324    -0.076068      0.53032
ENSG00000179403    1    1370241    1378262     21       5  351324     -0.65527      0.74385
ENSG00000215915    1    1385069    1405538     69      11  351324     -0.41412      0.66061
ENSG00000160072    1    1407143    1433228    109      10  351324       1.3274     0.092188
ENSG00000197785    1    1447531    1470067     96      12  351324      0.43377      0.33223
ENSG00000205090    1    1470554    1475833     10       4  351324       2.5291    0.0057182
ENSG00000160075    1    1477053    1510249    100      10  351324       2.7614    0.0028779
ENSG00000228594    1    1533392    1535476      2       1  351324      -1.1902      0.88302
ENSG00000197530    1    1550795    1565990     34       6  351324       1.2536      0.10499
ENSG00000248333    1    1570603    1590473     29       4  351324       3.4636   0.00026647
ENSG00000189339    1    1592939    1624167     68      11  351324       2.8702    0.0020512
ENSG00000008128    1    1634169    1655766    101       6  351324     -0.14415      0.55731
ENSG00000215790    1    1656277    1677431     66       7  351324       2.5395    0.0055505
ENSG00000008130    1    1682671    1711896     81      12  351324       2.4654    0.0068433
ENSG00000078369    1    1716729    1822495    192      26  351324       2.1791      0.01466
ENSG00000169885    1    1846266    1848735     12       3  351324        1.961      0.02494
ENSG00000178821    1    1849029    1850712      7       3  351324       1.9675     0.024565
ENSG00000142609    1    1853396    1935276    363      26  351324       1.8467     0.032396
ENSG00000187730    1    1950780    1962192     36       9  351324       1.2151      0.11217
ENSG00000067606    1    1981909    2116834    501      34  351324      0.28641      0.38728
ENSG00000162585    1    2115903    2144159     68      16  351324    -0.029339       0.5117
ENSG00000157933    1    2160134    2241558    292      52  351324       2.8107    0.0024718
ENSG00000116151    1    2252692    2323146    371      44  351324       2.1733      0.01488
ENSG00000157916    1    2323267    2336883     41      13  351324     0.069215      0.47241
ENSG00000157911    1    2336236    2345236     38      14  351324       1.8406     0.032838
ENSG00000149527    1    2357419    2436969    354      48  351324      0.18577      0.42631
ENSG00000157881    1    2439972    2458039     81      17  351324       1.9929     0.023134
ENSG00000197921    1    2460184    2461684      5       3  351324      0.24049      0.40497
ENSG00000157873    1    2487078    2496821     31       8  351324      0.39766      0.34544
ENSG00000157870    1    2517930    2522908     14       6  351324        1.237      0.10805
ENSG00000142606    1    2522078    2564481    190      13  351324      0.40959      0.34105
ENSG00000215912    1    2567415    2718286    393      21  351324       1.4848     0.068796
ENSG00000169717    1    2938046    2939465      4       2  351324       2.7183    0.0032812
ENSG00000142611    1    2985732    3355185   1708     171  351324       7.1732    3.662e-13
ENSG00000130762    1    3370990    3397677    100      12  351324       2.3768    0.0087308
ENSG00000162591    1    3406484    3528059    567      78  351324    -0.070254        0.528
