gene_id	PC_0	PC_1	PC_2	PC_3	PC_4
ENSG00000000003	-0.019377382	-0.012787827	-0.029774543	-0.036593124	-0.007759911
ENSG00000000005	-0.035799515	-0.013890859	-0.06455953	-0.12719117	0.042712554
ENSG00000000419	0.0008222352	-0.011325762	-0.0077732084	0.07927592	-0.0442572
ENSG00000000457	-0.02686381	-0.013720503	-0.061198473	-0.118368946	0.04111081
ENSG00000000460	-0.035645895	-0.013766242	-0.06422179	-0.12765577	0.044415798
ENSG00000000938	-0.03186566	-0.010870124	-0.038126063	-0.017316276	-0.015011766
ENSG00000000971	-0.015979243	-0.0063375155	0.08827608	0.6155759	-0.51220715
ENSG00000001036	0.037658207	-0.010819382	0.0057189562	0.12732261	-0.07554809
ENSG00000001084	-0.0152419815	-0.008915742	-0.042551357	-0.07027844	0.0075140675
ENSG00000001167	-0.0308183	-0.013415786	-0.05700439	-0.09765387	0.029597955
ENSG00000001460	-0.032183148	-0.013800824	-0.06264889	-0.123979755	0.04504076
ENSG00000001461	-0.014490748	-0.012891897	-0.043314986	-0.06459454	0.024089018
ENSG00000001497	0.0042809993	-0.013074898	-0.05331631	-0.08942137	0.029394053
ENSG00000001561	0.06721256	-0.013449602	-0.05631505	-0.09228943	0.024866832
ENSG00000001617	-0.03262487	-0.013888865	-0.06443723	-0.12814097	0.045020204
ENSG00000001626	-0.034856237	-0.013534889	-0.017499749	-0.11639947	0.06655507
ENSG00000001629	-0.006514328	-0.012795741	-0.03650924	-0.04809361	0.0023142495
ENSG00000001630	-0.0324843	-0.01374954	-0.061484274	-0.114888325	0.053896703
ENSG00000001631	-0.023976313	-0.013038416	-0.0480487	-0.07082218	0.020957215
ENSG00000002016	-0.03183901	-0.0134959305	-0.055417012	-0.104767255	0.03418446
ENSG00000002330	0.00014748286	-0.011412014	-0.015601553	0.055307448	0.026961993
ENSG00000002549	0.01183721	-0.010064348	0.00051305804	0.14767955	-0.07219126
ENSG00000002587	-0.033956353	-0.013419637	-0.055045042	-0.08630843	0.01525183
