GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000187634    1     860260     879955     91      21  459181    -0.060763      0.52423
ENSG00000188976    1     879584     894689     66      11  459181      0.36306      0.35828
ENSG00000187961    1     895967     901095     37       7  459181      -0.3319      0.63002
ENSG00000187583    1     901877     911245     49      19  459181      0.48471      0.31394
ENSG00000187642    1     910579     917497     28       7  459181       1.9589     0.025063
ENSG00000188290    1     934342     935552      4       2  459181      0.03579      0.48572
ENSG00000187608    1     948803     949920      6       2  459181      0.74871      0.22702
ENSG00000188157    1     955503     991496    159      21  459181      0.80624      0.21005
ENSG00000237330    1    1006346    1009687     10       4  459181       1.1893      0.11716
ENSG00000131591    1    1017198    1051741    139      14  459181      0.44786      0.32713
ENSG00000162571    1    1109264    1133315    156      18  459181      -1.7161      0.95693
ENSG00000186891    1    1138888    1142071     11       3  459181     -0.13721      0.55457
ENSG00000186827    1    1146706    1149518     11       4  459181     -0.24016       0.5949
ENSG00000078808    1    1152288    1167411     99       5  459181     -0.34471      0.63485
ENSG00000176022    1    1167629    1170421     10       3  459181     -0.63739      0.73807
ENSG00000184163    1    1177826    1182102     15       4  459181     -0.27476      0.60825
ENSG00000160087    1    1189289    1209265     65      12  459181        1.046      0.14778
ENSG00000162572    1    1215816    1227409     48      15  459181      0.22037      0.41279
ENSG00000131584    1    1227756    1244989     75      14  459181     -0.71659      0.76319
ENSG00000169972    1    1243947    1247057      4       2  459181      0.45506      0.32453
ENSG00000127054    1    1246965    1260071     20       5  459181       1.2023      0.11462
ENSG00000224051    1    1260136    1264277     13       3  459181       0.9013      0.18371
ENSG00000169962    1    1266694    1270686     15       6  459181      0.48335      0.31442
ENSG00000107404    1    1270656    1284730     43       8  459181       1.1391      0.12733
ENSG00000162576    1    1288069    1297157     28       5  459181       1.0298      0.15156
ENSG00000175756    1    1309110    1310875     10       4  459181       1.2738      0.10137
ENSG00000221978    1    1321091    1334708     27       8  459181      0.62392      0.26634
ENSG00000242485    1    1337288    1342693     18       7  459181      0.24282      0.40407
ENSG00000235098    1    1353800    1357149      9       3  459181      0.89165      0.18629
ENSG00000205116    1    1361508    1363167      9       3  459181   -0.0089584      0.50357
ENSG00000179403    1    1370241    1378262     21       5  459181       1.6804     0.046436
ENSG00000215915    1    1385069    1405538     94      12  459181       2.5266    0.0057586
ENSG00000160072    1    1407143    1433228    126      12  459181       1.9592     0.025046
ENSG00000197785    1    1447531    1470067     97      12  459181       2.0522     0.020076
ENSG00000205090    1    1470554    1475833     10       4  459181       4.6119    1.995e-06
ENSG00000160075    1    1477053    1510249    104      10  459181       4.5345   2.8875e-06
ENSG00000228594    1    1533392    1535476      2       1  459181     -0.97426      0.83504
ENSG00000197530    1    1550795    1565990     34       6  459181      -1.5523       0.9397
ENSG00000248333    1    1570603    1590473     30       5  459181     -0.19503      0.57732
ENSG00000189339    1    1592939    1624167     69      11  459181       1.2679      0.10241
ENSG00000008128    1    1634169    1655766    101       6  459181       2.0007     0.022712
ENSG00000215790    1    1656277    1677431     69       7  459181      0.55677      0.28884
ENSG00000008130    1    1682671    1711896     81      12  459181      -0.2871      0.61298
ENSG00000078369    1    1716729    1822495    193      26  459181    -0.083063       0.5331
ENSG00000169885    1    1846266    1848735     12       3  459181       -0.185      0.57338
ENSG00000178821    1    1849029    1850712      7       3  459181       0.6719      0.25082
ENSG00000142609    1    1853396    1935276    371      26  459181     -0.11315      0.54504
ENSG00000187730    1    1950780    1962192     36       9  459181      0.55909      0.28805
ENSG00000067606    1    1981909    2116834    506      34  459181      0.50162      0.30797
ENSG00000162585    1    2115903    2144159     69      17  459181        1.096      0.13653
ENSG00000157933    1    2160134    2241558    294      52  459181         3.32   0.00045017
ENSG00000116151    1    2252692    2323146    373      45  459181       0.8508      0.19744
ENSG00000157916    1    2323267    2336883     44      14  459181       3.9277   4.2889e-05
ENSG00000157911    1    2336236    2345236     38      14  459181        3.906   4.6921e-05
ENSG00000149527    1    2357419    2436969    359      47  459181      0.90168      0.18361
ENSG00000157881    1    2439972    2458039     82      17  459181    -0.099662      0.53969
ENSG00000197921    1    2460184    2461684      5       3  459181      0.38248      0.35105
ENSG00000157873    1    2487078    2496821     31       8  459181     -0.67259      0.74939
ENSG00000157870    1    2517930    2522908     14       6  459181     -0.39702      0.65432
ENSG00000142606    1    2522078    2564481    192      13  459181     -0.98156      0.83684
ENSG00000215912    1    2567415    2718286    396      22  459181       -0.127      0.55053
ENSG00000169717    1    2938046    2939465      4       2  459181       1.2218      0.11089
ENSG00000142611    1    2985732    3355185   1726     170  459181       2.5553    0.0053049
ENSG00000130762    1    3370990    3397677    100      12  459181      0.41136      0.34041
ENSG00000162591    1    3406484    3528059    574      83  459181      0.99928      0.15883
ENSG00000158109    1    3541566    3546691     12       4  459181       1.1576      0.12352
ENSG00000116213    1    3547331    3569325     56      14  459181       1.1978       0.1155
ENSG00000078900    1    3569084    3652765    346      56  459181       1.5687     0.058355
ENSG00000162592    1    3668962    3688209     78      17  459181      0.33107       0.3703
ENSG00000235169    1    3689352    3692546     13       5  459181       1.5941     0.055455
ENSG00000130764    1    3696784    3713068     84      16  459181      0.58734      0.27849
ENSG00000116198    1    3728645    3773778    313      18  459181      0.68691      0.24607
ENSG00000169598    1    3773845    3801993    186      26  459181    -0.011314      0.50451
ENSG00000198912    1    3805689    3816857     55      12  459181       1.1412      0.12689
ENSG00000196581    1    4714792    4852594    767      87  459181      0.16424      0.43477
ENSG00000131697    1    5922871    6052533    474      27  459181       1.2132      0.11252
ENSG00000069424    1    6051526    6161253    385      62  459181       1.8302     0.033607
