GENE             CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
ENSG00000188290    1     934342     935552      1       1  54162       1.0211       0.1536
ENSG00000187608    1     948803     949920      1       1  54162      0.52124       0.3011
ENSG00000188157    1     955503     991496     31       3  54162      0.64527      0.25938
ENSG00000237330    1    1006346    1009687      6       2  54162       1.3608     0.086785
ENSG00000131591    1    1017198    1051741     86       8  54162     -0.27067      0.60668
ENSG00000162571    1    1109264    1133315     73       7  54162      0.64837      0.25837
ENSG00000186891    1    1138888    1142071      5       1  54162      -1.0596      0.85535
ENSG00000186827    1    1146706    1149518      4       1  54162     -0.65526      0.74385
ENSG00000078808    1    1152288    1167411     80       4  54162      -1.0668      0.85696
ENSG00000176022    1    1167629    1170421      1       1  54162     0.078538       0.4687
ENSG00000184163    1    1177826    1182102      8       1  54162     -0.37387      0.64575
ENSG00000160087    1    1189289    1209265     29       4  54162      0.63846      0.26159
ENSG00000162572    1    1215816    1227409     15       4  54162      0.74169      0.22914
ENSG00000131584    1    1227756    1244989      7       2  54162     -0.06681      0.52663
ENSG00000169972    1    1243947    1247057      2       1  54162     -0.21277      0.58425
ENSG00000127054    1    1246965    1260071      5       2  54162     -0.64949      0.74199
ENSG00000224051    1    1260136    1264277      1       1  54162      -0.4733        0.682
ENSG00000107404    1    1270656    1284730      2       1  54162     -0.24312      0.59605
ENSG00000162576    1    1288069    1297157     15       2  54162      0.48127      0.31516
ENSG00000175756    1    1309110    1310875      3       2  54162      0.58122      0.28055
ENSG00000221978    1    1321091    1334708     10       2  54162     -0.36803      0.64357
ENSG00000242485    1    1337288    1342693      6       2  54162      0.23442      0.40733
ENSG00000235098    1    1353800    1357149      3       1  54162      0.53872      0.29504
ENSG00000197785    1    1447531    1470067     20       2  54162      0.74693      0.22755
ENSG00000205090    1    1470554    1475833      5       1  54162      -1.2586       0.8959
ENSG00000160075    1    1477053    1510249     55       4  54162      -1.2721      0.89833
ENSG00000008130    1    1682671    1711896     53       6  54162      0.11727      0.45332
ENSG00000078369    1    1716729    1822495     99      10  54162      0.15762      0.43738
ENSG00000169885    1    1846266    1848735     10       3  54162     0.085399      0.46597
ENSG00000178821    1    1849029    1850712      4       2  54162      0.74022      0.22958
ENSG00000142609    1    1853396    1935276    138      13  54162     -0.33319      0.63051
ENSG00000067606    1    1981909    2116834    276      15  54162     -0.68166      0.75227
ENSG00000162585    1    2115903    2144159     40       7  54162      -1.3124      0.90531
ENSG00000157933    1    2160134    2241558    179      28  54162       0.9478      0.17161
ENSG00000116151    1    2252692    2323146    235      32  54162      0.95203      0.17054
ENSG00000157916    1    2323267    2336883     33       9  54162     -0.40426      0.65699
ENSG00000157911    1    2336236    2345236     21       6  54162     -0.37617       0.6466
ENSG00000149527    1    2357419    2436969    174      23  54162      -1.4388       0.9249
ENSG00000157881    1    2439972    2458039     30       3  54162      -1.0759      0.85902
ENSG00000197921    1    2460184    2461684      2       1  54162     -0.74926      0.77315
ENSG00000157873    1    2487078    2496821     14       2  54162      -1.3969      0.91878
