GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000187634    1     860260     879955     91      21  460950       3.8254   6.5275e-05
ENSG00000188976    1     879584     894689     66      11  460950      0.96783      0.16657
ENSG00000187961    1     895967     901095     37       7  460950      0.77334      0.21966
ENSG00000187583    1     901877     911245     49      19  460950       2.3083     0.010493
ENSG00000187642    1     910579     917497     28       7  460950       1.9264     0.027029
ENSG00000188290    1     934342     935552      4       2  460950       1.8712     0.030658
ENSG00000187608    1     948803     949920      6       2  460950       2.9603    0.0015367
ENSG00000188157    1     955503     991496    159      21  460950       2.7719    0.0027863
ENSG00000237330    1    1006346    1009687     10       4  460950        4.923   4.2603e-07
ENSG00000131591    1    1017198    1051741    139      14  460950       2.4057    0.0080716
ENSG00000162571    1    1109264    1133315    156      18  460950      0.37138      0.35518
ENSG00000186891    1    1138888    1142071     11       3  460950       0.8257      0.20449
ENSG00000186827    1    1146706    1149518     11       4  460950      0.18828      0.42533
ENSG00000078808    1    1152288    1167411     99       5  460950     -0.85833      0.80465
ENSG00000176022    1    1167629    1170421     10       3  460950      0.27488       0.3917
ENSG00000184163    1    1177826    1182102     15       4  460950       0.9234       0.1779
ENSG00000160087    1    1189289    1209265     65      12  460950       1.3102     0.095067
ENSG00000162572    1    1215816    1227409     48      15  460950      0.27588      0.39132
ENSG00000131584    1    1227756    1244989     75      14  460950      0.90343      0.18315
ENSG00000169972    1    1243947    1247057      4       2  460950       1.0758      0.14101
ENSG00000127054    1    1246965    1260071     20       5  460950       1.1195      0.13146
ENSG00000224051    1    1260136    1264277     13       3  460950     0.056561      0.47745
ENSG00000169962    1    1266694    1270686     15       6  460950       1.6986     0.044701
ENSG00000107404    1    1270656    1284730     43       8  460950      0.26586      0.39517
ENSG00000162576    1    1288069    1297157     28       5  460950     0.018607      0.49258
ENSG00000175756    1    1309110    1310875     10       4  460950       1.0721      0.14183
ENSG00000221978    1    1321091    1334708     27       8  460950      0.63784      0.26179
ENSG00000242485    1    1337288    1342693     18       7  460950      0.47876      0.31606
ENSG00000235098    1    1353800    1357149      9       3  460950      0.55183      0.29053
ENSG00000205116    1    1361508    1363167      9       3  460950       0.4631      0.32165
ENSG00000179403    1    1370241    1378262     21       5  460950      0.33932      0.36719
ENSG00000215915    1    1385069    1405538     94      12  460950       1.2334      0.10872
ENSG00000160072    1    1407143    1433228    126      12  460950      0.76423      0.22237
ENSG00000197785    1    1447531    1470067     97      12  460950       1.6404     0.050464
ENSG00000205090    1    1470554    1475833     10       4  460950       1.8323     0.033456
ENSG00000160075    1    1477053    1510249    104      10  460950       1.7681     0.038521
ENSG00000228594    1    1533392    1535476      2       1  460950      0.29895      0.38249
ENSG00000197530    1    1550795    1565990     34       6  460950        4.052    2.539e-05
ENSG00000248333    1    1570603    1590473     30       5  460950       4.7937    8.185e-07
ENSG00000189339    1    1592939    1624167     69      11  460950       4.3601   6.5013e-06
ENSG00000008128    1    1634169    1655766    101       6  460950      0.08484      0.46619
ENSG00000215790    1    1656277    1677431     69       7  460950      0.23227      0.40816
ENSG00000008130    1    1682671    1711896     81      12  460950       1.1122      0.13304
ENSG00000078369    1    1716729    1822495    193      26  460950       1.7765     0.037824
ENSG00000169885    1    1846266    1848735     12       3  460950     -0.14443      0.55742
ENSG00000178821    1    1849029    1850712      7       3  460950       0.2379      0.40598
ENSG00000142609    1    1853396    1935276    371      26  460950       0.6321      0.26366
ENSG00000187730    1    1950780    1962192     36       9  460950       1.5372     0.062122
ENSG00000067606    1    1981909    2116834    506      34  460950       4.4427   4.4421e-06
ENSG00000162585    1    2115903    2144159     69      17  460950       4.7665   9.3748e-07
ENSG00000157933    1    2160134    2241558    294      52  460950       7.3093   1.3424e-13
ENSG00000116151    1    2252692    2323146    373      45  460950       2.1422     0.016089
ENSG00000157916    1    2323267    2336883     44      14  460950      0.23339      0.40773
ENSG00000157911    1    2336236    2345236     38      14  460950       1.5272     0.063359
ENSG00000149527    1    2357419    2436969    359      47  460950       2.6687     0.003807
ENSG00000157881    1    2439972    2458039     82      17  460950       2.2271     0.012971
ENSG00000197921    1    2460184    2461684      5       3  460950      0.10869      0.45672
ENSG00000157873    1    2487078    2496821     31       8  460950       1.7005     0.044514
ENSG00000157870    1    2517930    2522908     14       6  460950       1.2696      0.10212
ENSG00000142606    1    2522078    2564481    192      13  460950     -0.51016      0.69503
ENSG00000215912    1    2567415    2718286    396      22  460950       1.0309      0.15129
ENSG00000169717    1    2938046    2939465      4       2  460950      0.41846      0.33781
ENSG00000142611    1    2985732    3355185   1726     170  460950       5.7584   4.2463e-09
ENSG00000130762    1    3370990    3397677    100      12  460950      0.52315      0.30043
ENSG00000162591    1    3406484    3528059    574      83  460950      0.58965      0.27771
ENSG00000158109    1    3541566    3546691     12       4  460950       1.1214      0.13105
ENSG00000116213    1    3547331    3569325     56      14  460950      0.85311       0.1968
ENSG00000078900    1    3569084    3652765    346      56  460950       0.4616      0.32219
ENSG00000162592    1    3668962    3688209     78      17  460950       0.2085      0.41742
ENSG00000235169    1    3689352    3692546     13       5  460950       2.5862    0.0048525
ENSG00000130764    1    3696784    3713068     84      16  460950       2.1319     0.016509
ENSG00000116198    1    3728645    3773778    313      18  460950       1.0837      0.13925
ENSG00000169598    1    3773845    3801993    186      26  460950      0.41441      0.33929
ENSG00000198912    1    3805689    3816857     55      12  460950       2.7776     0.002738
ENSG00000196581    1    4714792    4852594    767      87  460950       2.7682    0.0028187
ENSG00000131697    1    5922871    6052533    474      27  460950      0.57143      0.28386
ENSG00000069424    1    6051526    6161253    385      62  460950       4.4873   3.6058e-06
ENSG00000116254    1    6161853    6240183    330      37  460950    -0.039381      0.51571
ENSG00000116251    1    6241329    6269449     75      15  460950      0.75982      0.22368
ENSG00000158286    1    6265535    6281359     51       8  460950       1.8912     0.029297
ENSG00000116237    1    6281253    6296032     46       9  460950      0.83385      0.20218
ENSG00000173673    1    6304252    6305638      6       3  460950     -0.15346      0.56098
